t,E,N,Q,C,iN,dP,P,blocked,dynamic_threshold,ethic_memory,novelty_pressure,P_ETOmega,dETOmega
24,1.3531794941311497,0.26594447281403194,0.7635357224384665,0.5103730496244113,0.14327763198499238,2.7497551070230672,61.454503841724446,0,1.0,0.0,0.876773050764805,32.00454226969561,1.6361168042300696
25,1.3922107982223504,0.14862462219897457,0.6337683538780584,0.5016309074657036,0.14348212200652116,2.532752559758566,63.98725640148301,0,1.0,0.0,0.6556393053014213,33.59519294877348,1.5906506790778656
26,1.3905427612841261,0.16912160633499992,0.8666803420015167,0.46508554119761375,0.1436868115140523,2.747743439304204,66.73499984078721,0,1.0,0.0,0.8624658799362134,35.05844017736419,1.4632472285907134
27,1.3412793982004627,0.20429149935238283,0.9230274402484221,0.5100692611108382,0.14389170049783265,2.834775898414273,69.56977573920149,0,1.0,0.0,0.9427134515511206,36.04456337585178,0.9861231984875887
28,1.3388880357677155,0.17741717260215104,0.6644875141115262,0.49872070377021693,0.14409678894771172,2.5354166373038978,72.10519237650539,0,1.0,0.0,0.7090071838913721,37.49760942205335,1.4530460462015702
29,1.291663745262035,0.11433881682754238,0.8513356618646886,0.4789736426942086,0.14430207685314164,2.5920097897953327,74.69720216630071,0,1.0,0.0,0.7954073463192932,38.73381977222247,1.23621035016912
30,1.3129172801778526,0.04899458348313895,0.9164300774879003,0.46671033037582027,0.1445075642031773,2.600544707321535,77.29774687362224,0,1.0,0.0,0.7821386454734591,40.39291874806305,1.659098975840588
31,1.2724514393312925,0.04258994998200829,1.2325918154798092,0.4514394973246062,0.17337665335233238,2.8256960487653835,80.12344292238762,0,1.0,0.0,1.0286634023658559,41.90223275037782,1.5093140023147686
32,1.2991561558689795,0.151950627433265,0.5757333270955017,0.4978230022578562,0.14491913719129987,2.379743975464302,82.50318689785193,0,1.0,0.0,0.6125372891096664,43.46739560204059,1.5651628516627665
33,1.3396700192691737,0.21796840143891286,0.7884623751143534,0.4508150621000709,0.14512522280551116,2.6517906351169995,85.15497753296893,0,1.0,0.0,0.8487383015303955,45.72757047472587,2.260174872685285
