iter,E_before,N,I,risk,iN,P_lem,accepted_lem,E_after,E_raw
1,0.4,0.07218868319017725,0.9653727854838121,0.03462721451618792,0.002499693018467394,0.46968899017170984,1,0.46968899017170984,0.47218868319017726
2,0.46968899017170984,0.09001804783225828,0.8449501067817293,0.15504989321827062,0.013957288704108829,0.5457497492998593,1,0.5457497492998593,0.5622067310224356
3,0.5457497492998593,0.0,1.0,0.0,0.0,0.5457497492998593,0,0.5457497492998593,0.5622067310224356
4,0.5457497492998593,0.0651136161266914,0.9376757902651495,0.062324209734850575,0.004058154668074462,0.6068052107584763,1,0.6068052107584763,0.627320347149127
5,0.6068052107584763,0.05932795369982845,0.9714586519388849,0.02854134806111512,0.001693299776300524,0.6644398646820042,1,0.6644398646820042,0.6866483008489555
6,0.6644398646820042,0.09517591899451314,0.8468993004351368,0.15310069956486316,0.01457149977978871,0.7450442838967287,1,0.7450442838967287,0.7818242198434686
7,0.7450442838967287,0.06264122790244864,0.86846846616866,0.13153153383134,0.0082392967870876,0.7994462150120898,1,0.7994462150120898,0.8444654477459173
8,0.7994462150120898,0.07870037369008182,0.9485241747160638,0.051475825283936266,0.004051166685851144,0.8740954220163204,1,0.8740954220163204,0.923165821435999
9,0.8740954220163204,0.07475003136329995,0.95824409240549,0.04175590759451,0.0031212554022926756,0.9457241979773277,1,0.9457241979773277,0.997915852799299
10,0.9457241979773277,0.0951380120522909,0.8883306810865635,0.11166931891343643,0.010623997008657633,1.0302382130209609,1,1.0302382130209609,1.09305386485159
11,1.0302382130209609,0.05260550545818957,0.9709198706703696,0.029080129329630423,0.001529774902174733,1.0813139435769756,1,1.0813139435769756,1.1456593703097795
12,1.0813139435769756,0.10890165354696121,0.8770444898470866,0.12295551015291334,0.013390058368362446,1.1768255387555744,1,1.1768255387555744,1.2
13,1.1768255387555744,0.04286688711347571,0.9661664129882406,0.03383358701175937,0.0014503405550770493,1.218242085313973,1,1.2,1.2
14,1.2,0.08129236742213394,0.8841769558752354,0.11582304412476464,0.009415529458940398,1.2718768379631935,1,1.2,1.2
15,1.2,0.07650930446383954,0.8866477844929984,0.11335221550700157,0.008672499167875937,1.2678368052959637,1,1.2,1.2
16,1.2,0.14566590403481844,0.8455216659774487,0.15447833402255134,0.022502226179187585,1.3231636778556308,1,1.2,1.2
17,1.2,0.0395102908371385,0.9932762874078277,0.006723712592172311,0.00026565584002205816,1.2392446349971165,1,1.2,1.2
18,1.2,0.08463917690301982,0.8419843730803316,0.15801562691966836,0.013374312600295396,1.2712648643027245,1,1.2,1.2
19,1.2,0.05544210169380499,0.9754773018155605,0.024522698184439584,0.0013595899265481835,1.2540825117672567,1,1.2,1.2
20,1.2,0.027020751372350417,0.9350454589619445,0.06495454103805556,0.0017551205038944305,1.225265630868456,1,1.2,1.2
